bc1qw8wrek2m7nlqldll66ajnwr9mh64syvkt67zlu,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,20144,33190,29669
1GuLYGgr9FZwCBBQfDmMiJfTF4cvyrJSeu,1FUpBduq45UfULPACj1Phw9hRvwroJqYUX,7,18,16
1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,7,7,7
14UeyAD9rQCSJgdJzuzFgShq84gW62Bsat,1FvkWMMH9MDMACHqynrerzduaQ5AjjZKDA,7,11,19
1FvkWMMH9MDMACHqynrerzduaQ5AjjZKDA,1D3mERfHYY2e96HKUZUsXX7HqHkqUFEadv,7,19,12
1GuLYGgr9FZwCBBQfDmMiJfTF4cvyrJSeu,1Gc6ggvqHRRwyyx6rrW9Wn17bqzV7voWvD,7,18,19
13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,12yePmcVhMzzHYwh4BpVF3Cm1bYL9mqyKc,7,9,7
1KLay1g7rZxAiotuDhGy5YizdXSpqkFxQ9,12yePmcVhMzzHYwh4BpVF3Cm1bYL9mqyKc,6,8,7
12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,6,7,6
1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,6,7,7
15SGg7PpcJ7bMhENw4gc3Qp4LT6c5uLGza,1D387jd5ZuvudpUQrSv8vK5b2M1SBnvdY8,6,15,13
1GDsWXPNUqKp2AtqRNZuUgzoCChuJfpi6f,1PrKN9pGDeYYpAkqBf9ENB7Hq5CwUHdVBC,6,9,6
152BK6BQa672Dy8PHf4JQtS27pBRBiYy6e,1Gc6ggvqHRRwyyx6rrW9Wn17bqzV7voWvD,6,25,19
1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,6,6,7
1D387jd5ZuvudpUQrSv8vK5b2M1SBnvdY8,15SGg7PpcJ7bMhENw4gc3Qp4LT6c5uLGza,6,13,15
1E1SKgxgYJFXzaLxgat2FNSnwWeKz1U15N,12yePmcVhMzzHYwh4BpVF3Cm1bYL9mqyKc,6,6,7
1gvH7pGPrEBNjqmwYS8UDhjFQkyqkKCLE,1E1SKgxgYJFXzaLxgat2FNSnwWeKz1U15N,6,6,6
1Ly9nQEyaRQoRPSAE4dABrpav2SaAR383W,15SGg7PpcJ7bMhENw4gc3Qp4LT6c5uLGza,6,12,15
1E1SKgxgYJFXzaLxgat2FNSnwWeKz1U15N,1gvH7pGPrEBNjqmwYS8UDhjFQkyqkKCLE,6,6,6
124ixYbTUb5jBAsY5X9pJfimdc3x1qJSPu,1PPWcRj9k2oRr2uEJUQpmTo293a68tkjTX,6,23,13
1GuLYGgr9FZwCBBQfDmMiJfTF4cvyrJSeu,1AwimXdGoX8nR9dMagCDMGJQB62GNHgrqM,6,18,21
1PrKN9pGDeYYpAkqBf9ENB7Hq5CwUHdVBC,1GDsWXPNUqKp2AtqRNZuUgzoCChuJfpi6f,6,6,9
1DDWbJhKqfidczaHF1ugGP2KzPgcaU3tGD,1FvkWMMH9MDMACHqynrerzduaQ5AjjZKDA,6,15,19
152BK6BQa672Dy8PHf4JQtS27pBRBiYy6e,1Ly9nQEyaRQoRPSAE4dABrpav2SaAR383W,6,25,12
1Ly9nQEyaRQoRPSAE4dABrpav2SaAR383W,152BK6BQa672Dy8PHf4JQtS27pBRBiYy6e,6,12,25
1Ms4LPLVYWCyYTAqBcotXAeizHgE778abE,1CY3uBdj9ZypiiZUymr2kVSaByFdEbYrcU,6,14,16
12yePmcVhMzzHYwh4BpVF3Cm1bYL9mqyKc,1E1SKgxgYJFXzaLxgat2FNSnwWeKz1U15N,6,7,6
12yePmcVhMzzHYwh4BpVF3Cm1bYL9mqyKc,1gvH7pGPrEBNjqmwYS8UDhjFQkyqkKCLE,6,7,6
15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,6,7,7
12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,6,7,7
17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,6,7,6
1DDWbJhKqfidczaHF1ugGP2KzPgcaU3tGD,1EF3T11bL7yua2yJo4waaQ3RgewNwRnKMw,6,15,16
15SGg7PpcJ7bMhENw4gc3Qp4LT6c5uLGza,1Ly9nQEyaRQoRPSAE4dABrpav2SaAR383W,6,15,12
14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,6,6,7
1EF3T11bL7yua2yJo4waaQ3RgewNwRnKMw,1Cw9Kyr8hKsucXTtcwuGVqeBHDrnRtXC8D,6,16,19
12yePmcVhMzzHYwh4BpVF3Cm1bYL9mqyKc,1KLay1g7rZxAiotuDhGy5YizdXSpqkFxQ9,6,7,8
1gvH7pGPrEBNjqmwYS8UDhjFQkyqkKCLE,12yePmcVhMzzHYwh4BpVF3Cm1bYL9mqyKc,6,6,7
1Ms4LPLVYWCyYTAqBcotXAeizHgE778abE,15n6GcFRFm3287FotAWunZe58D9yXx13AB,6,14,15
1CY3uBdj9ZypiiZUymr2kVSaByFdEbYrcU,1Ms4LPLVYWCyYTAqBcotXAeizHgE778abE,6,16,14
12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,6,7,7
1FvkWMMH9MDMACHqynrerzduaQ5AjjZKDA,1DDWbJhKqfidczaHF1ugGP2KzPgcaU3tGD,6,19,15
1Gc6ggvqHRRwyyx6rrW9Wn17bqzV7voWvD,152BK6BQa672Dy8PHf4JQtS27pBRBiYy6e,6,19,25
1PPWcRj9k2oRr2uEJUQpmTo293a68tkjTX,124ixYbTUb5jBAsY5X9pJfimdc3x1qJSPu,6,13,23
1gvH7pGPrEBNjqmwYS8UDhjFQkyqkKCLE,13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,6,6,9
1EF3T11bL7yua2yJo4waaQ3RgewNwRnKMw,1DDWbJhKqfidczaHF1ugGP2KzPgcaU3tGD,6,16,15
1AwimXdGoX8nR9dMagCDMGJQB62GNHgrqM,1GuLYGgr9FZwCBBQfDmMiJfTF4cvyrJSeu,6,21,18
1Cw9Kyr8hKsucXTtcwuGVqeBHDrnRtXC8D,1EF3T11bL7yua2yJo4waaQ3RgewNwRnKMw,6,19,16
13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,1gvH7pGPrEBNjqmwYS8UDhjFQkyqkKCLE,6,9,6
15n6GcFRFm3287FotAWunZe58D9yXx13AB,1Ms4LPLVYWCyYTAqBcotXAeizHgE778abE,6,15,14
1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,5,6,7
17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,5,7,6
1G6KK2j1C7DAsPmQ6joZpAY4gN84z5Te4E,15n6GcFRFm3287FotAWunZe58D9yXx13AB,5,16,15
1Gtpfqoo8stQw2E4vCbZZbJBBZvYzzCeRy,15URsTiy1ksoMMV7DuEi9hvSqHgqobAtKa,5,6,7
1CY3uBdj9ZypiiZUymr2kVSaByFdEbYrcU,124ixYbTUb5jBAsY5X9pJfimdc3x1qJSPu,5,16,23
1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,5,6,7
1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,5,6,7
1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,5,6,6
1ZK5rrghS3Uhnra64LiuZVupa6WTSuPfF,1G6KK2j1C7DAsPmQ6joZpAY4gN84z5Te4E,5,15,16
1D3mERfHYY2e96HKUZUsXX7HqHkqUFEadv,19CkUw43czT8yQctnHXNiB5ivNtibWbzqS,5,12,19
1Gc6ggvqHRRwyyx6rrW9Wn17bqzV7voWvD,1FUpBduq45UfULPACj1Phw9hRvwroJqYUX,5,19,16
15URsTiy1ksoMMV7DuEi9hvSqHgqobAtKa,1Gtpfqoo8stQw2E4vCbZZbJBBZvYzzCeRy,5,7,6
14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbM,16b8LpbDa38xrAQHVVDrC3xyztPdRaX5a2,5,13,5
1Gtpfqoo8stQw2E4vCbZZbJBBZvYzzCeRy,16dyizLarM2N4UjGaEFPESNmJC5vEALtZX,5,6,4
19CkUw43czT8yQctnHXNiB5ivNtibWbzqS,1D3mERfHYY2e96HKUZUsXX7HqHkqUFEadv,5,19,12
18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,5,6,7
16dyizLarM2N4UjGaEFPESNmJC5vEALtZX,1Gtpfqoo8stQw2E4vCbZZbJBBZvYzzCeRy,5,4,6
1AN2EJMCyKn8dcfv8gonihvRPvyYuNUuQP,1DTibFT2vzUhM3LjCL7PXUbwgv3KfhAD3Y,5,9,9
18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,5,6,7
1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,5,6,6
1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,5,13,7
1PjPfocmxS262puhYqUwaagE9zBJTZHGwK,1NSbFq6rCeSC1p2EBrov5R1uUTFRBu8tcs,5,7,5
15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,5,7,6
19CkUw43czT8yQctnHXNiB5ivNtibWbzqS,1DFv3qVAbravZBZqHmoEphMDtTs2zXPYXk,5,19,20
1DFv3qVAbravZBZqHmoEphMDtTs2zXPYXk,1JCozFUFS5TBAAbnrr9jRWDVQURo2kGeRq,5,20,8
1HvZQX9XkFFaNa8d5VpwMcYkyebyp6cCXM,1DDWbJhKqfidczaHF1ugGP2KzPgcaU3tGD,5,23,15
14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,5,6,7
18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,5,6,7
1G6KK2j1C7DAsPmQ6joZpAY4gN84z5Te4E,1ZK5rrghS3Uhnra64LiuZVupa6WTSuPfF,5,16,15
1NFPNeet3ygvVZtDbxYeLECfs7g7vH8PSV,147sPaNaqeyQp8GS2oAUajhb9d4PZ9xAv9,5,8,17
12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,5,7,7
14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,5,6,6
18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,5,6,6
18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,5,6,7
1D387jd5ZuvudpUQrSv8vK5b2M1SBnvdY8,12GQSEPmoCiw7zrWJbsYa5SD3hkKPSzyAq,5,13,18
18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,5,6,9
1DTibFT2vzUhM3LjCL7PXUbwgv3KfhAD3Y,1AN2EJMCyKn8dcfv8gonihvRPvyYuNUuQP,5,9,9
124ixYbTUb5jBAsY5X9pJfimdc3x1qJSPu,1CY3uBdj9ZypiiZUymr2kVSaByFdEbYrcU,5,23,16
12GQSEPmoCiw7zrWJbsYa5SD3hkKPSzyAq,1D387jd5ZuvudpUQrSv8vK5b2M1SBnvdY8,5,18,13
1DFv3qVAbravZBZqHmoEphMDtTs2zXPYXk,19CkUw43czT8yQctnHXNiB5ivNtibWbzqS,5,20,19
147sPaNaqeyQp8GS2oAUajhb9d4PZ9xAv9,18QCiLiXhko8pb4rqv3mCtC834tSTWHNij,5,17,7
13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,5,9,6
17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,5,7,13
1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,5,13,6
17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,5,7,6
1JCozFUFS5TBAAbnrr9jRWDVQURo2kGeRq,1DFv3qVAbravZBZqHmoEphMDtTs2zXPYXk,5,8,20
1NSbFq6rCeSC1p2EBrov5R1uUTFRBu8tcs,1PjPfocmxS262puhYqUwaagE9zBJTZHGwK,5,5,7
15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,5,7,6
1CY3uBdj9ZypiiZUymr2kVSaByFdEbYrcU,1PPWcRj9k2oRr2uEJUQpmTo293a68tkjTX,5,16,13
16b8LpbDa38xrAQHVVDrC3xyztPdRaX5a2,14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbM,5,5,13
147sPaNaqeyQp8GS2oAUajhb9d4PZ9xAv9,1NFPNeet3ygvVZtDbxYeLECfs7g7vH8PSV,5,17,8
14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,5,6,6
12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,5,7,6
15n6GcFRFm3287FotAWunZe58D9yXx13AB,1G6KK2j1C7DAsPmQ6joZpAY4gN84z5Te4E,5,15,16
1FUpBduq45UfULPACj1Phw9hRvwroJqYUX,1Cw9Kyr8hKsucXTtcwuGVqeBHDrnRtXC8D,5,16,19
1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,5,7,6
1Cw9Kyr8hKsucXTtcwuGVqeBHDrnRtXC8D,1FUpBduq45UfULPACj1Phw9hRvwroJqYUX,5,19,16
1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,5,7,6
1PPWcRj9k2oRr2uEJUQpmTo293a68tkjTX,1CY3uBdj9ZypiiZUymr2kVSaByFdEbYrcU,5,13,16
18QCiLiXhko8pb4rqv3mCtC834tSTWHNij,147sPaNaqeyQp8GS2oAUajhb9d4PZ9xAv9,5,7,17
12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,5,7,6
17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,5,7,7
1Ms4LPLVYWCyYTAqBcotXAeizHgE778abE,124ixYbTUb5jBAsY5X9pJfimdc3x1qJSPu,5,14,23
1DDWbJhKqfidczaHF1ugGP2KzPgcaU3tGD,1HvZQX9XkFFaNa8d5VpwMcYkyebyp6cCXM,5,15,23
14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,5,6,13
1FUpBduq45UfULPACj1Phw9hRvwroJqYUX,1Gc6ggvqHRRwyyx6rrW9Wn17bqzV7voWvD,5,16,19
124ixYbTUb5jBAsY5X9pJfimdc3x1qJSPu,1Ms4LPLVYWCyYTAqBcotXAeizHgE778abE,5,23,14
18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,5,6,6
14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbM,1HmiKJMQH4569UMpeGX2QStUfpjx7pBKhW,4,13,5
1FMbcnYvvccZ6hR324cFRpn1QX9TCkqtAe,17RmGC3i2dASQai3mP9iJLX3ZD9TBm2YQV,4,6,4
18gYq8BpkbcizC4jZ9zyQxo2NBVEQ2p4hM,16b8LpbDa38xrAQHVVDrC3xyztPdRaX5a2,4,4,5
17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,4,7,7
1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6,4,13,6
14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ,1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,4,6,7
15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,4,7,9
13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,4,9,7
1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq,1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ,4,6,13
12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK,13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,4,7,9
1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE,4,7,7
1HmiKJMQH4569UMpeGX2QStUfpjx7pBKhW,16b8LpbDa38xrAQHVVDrC3xyztPdRaX5a2,4,5,5
34RHvKnrRzG3YMBos5utJh4jU5JYvN8gsp,3PFMD9zQ1xRgBXBFSHzoo7eqAaCPL9L7wq,4,6,7
